COUNTRY,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Dominica,AMRO,REPORTING,2023-06-02,67647.0,32995,93.966,45.832,30659,42.587,2021-02-12,5.0,3993.0,5.547
Finland,EURO,REPORTING,2023-10-01,13265058.0,4547671,240.1,81.966,4365148,78.676,2020-12-23,5.0,3088731.0,55.67
French Guiana,AMRO,REPORTING,2023-07-14,242386.0,100359,81.152,33.601,90493,30.297,2021-01-13,3.0,46361.0,15.522
Gabon,AFRO,REPORTING,2023-02-05,572672.0,311244,25.73,13.984,257471,11.568,2021-03-23,3.0,2592.0,0.116
Haiti,AMRO,REPORTING,2023-06-16,669130.0,313751,5.868,2.752,355379,3.117,,2.0,,
Iceland,EURO,REPORTING,2023-04-16,869976.0,307269,238.9,81.685,297921,79.182,2020-12-30,5.0,254556.0,67.656
Jersey,EURO,OWID,2023-01-29,266953.0,84365,247.646,78.264,81882,75.96,,3.0,73662.0,68.335
Lebanon,EMRO,REPORTING,2022-12-22,5814699.0,2740227,85.192,40.147,2414223,35.371,2021-02-14,10.0,660249.0,9.673
Malaysia,WPRO,REPORTING,2023-10-26,72653181.0,28140956,224.474,86.946,27554035,85.133,2021-02-24,8.0,16348342.0,50.511
Marshall Islands,WPRO,REPORTING,2023-03-24,110742.0,47077,187.083,79.53,40689,68.738,2020-12-29,3.0,18559.0,31.353
Myanmar,SEARO,REPORTING,2023-08-21,93477104.0,41551927,171.802,76.368,35937796,66.05,2021-01-27,2.0,15987381.0,29.383
Oman,EMRO,REPORTING,2022-10-25,7086050.0,3257365,138.762,63.787,3048826,59.703,2020-12-29,11.0,779859.0,15.272
Pakistan,EMRO,REPORTING,2023-11-14,340974144.0,165567890,154.362,74.954,140475871,63.595,2021-02-03,11.0,53152375.0,24.063
Republic of Moldova,EURO,REPORTING,2023-10-01,2291436.0,1109270,,36.233,1078813,35.238,2021-03-03,7.0,404774.0,13.221
Saint Kitts and Nevis,AMRO,REPORTING,2023-06-02,64297.0,33794,120.877,63.532,27000,50.76,2021-02-22,3.0,3465.0,6.514
Slovenia,EURO,REPORTING,2023-10-01,2993446.0,1217608,142.8,57.784,1187389,56.35,2020-12-23,8.0,646504.0,30.681
Somalia,EMRO,REPORTING,2023-07-25,10555834.0,8972167,66.417,56.453,7666835,48.24,2021-03-16,11.0,28134.0,0.177
Togo,AFRO,REPORTING,2023-11-19,3423181.0,2255579,41.349,27.245,1554066,18.772,2021-03-10,1.0,427804.0,5.168
Tokelau,WPRO,REPORTING,2022-12-05,6342.0,2203,469.778,163.185,2203,163.185,2021-07-20,1.0,968.0,71.704
Tunisia,EMRO,REPORTING,2023-06-20,13253317.0,7218871,112.139,61.08,6401841,54.167,2021-03-13,10.0,1258577.0,10.649
Solomon Islands,WPRO,REPORTING,2023-07-04,612700.0,335796,89.2,48.887,254016,36.981,2021-03-23,4.0,27896.0,4.061
Sudan,EMRO,REPORTING,2023-04-02,22598737.0,15207452,51.537,34.681,13416394,30.597,2021-03-09,11.0,3891363.0,8.874
Tonga,WPRO,REPORTING,2023-06-30,204737.0,87375,193.705,82.667,77390,73.22,2021-04-14,2.0,38588.0,36.509
United Republic of Tanzania,AFRO,REPORTING,2023-03-12,39392419.0,34434933,65.946,57.647,32165791,53.848,2021-07-28,3.0,,
Uruguay,AMRO,REPORTING,2023-11-17,9036443.0,3010464,260.137,86.664,2903096,83.573,2021-02-27,3.0,2080828.0,59.902
Venezuela (Bolivarian Republic of),AMRO,REPORTING,2023-06-02,37860994.0,22157232,133.145,77.92,14287370,50.244,2021-02-22,6.0,651502.0,2.291
Vanuatu,WPRO,REPORTING,2023-02-20,355430.0,176624,115.721,57.505,162250,52.825,2021-06-02,3.0,16556.0,5.39
Zambia,AFRO,REPORTING,2023-06-25,13615707.0,11711565,74.063,63.705,9155551,49.802,2021-04-14,3.0,1414619.0,7.695
Zimbabwe,AFRO,REPORTING,2023-11-19,13935112.0,7525247,93.758,50.631,5660934,38.088,2021-02-18,4.0,2298971.0,15.468
Albania,EURO,REPORTING,2023-09-10,3088966.0,1349255,107.3,47.264,1279333,44.815,2021-01-13,6.0,402371.0,14.095
Chile,AMRO,REPORTING,2023-11-17,66860038.0,17538744,349.756,91.748,17721847,92.706,2020-12-21,5.0,15779147.0,82.543
Congo,AFRO,REPORTING,2022-07-31,833210.0,695760,15.1,12.609,654119,11.854,2021-03-23,4.0,,
Côte d’Ivoire,AFRO,REPORTING,2023-02-19,25263932.0,13568372,95.776,51.438,12164304,46.115,2021-03-01,5.0,3138712.0,11.899
Denmark,EURO,REPORTING,2023-10-01,14915662.0,4746509,256.2,80.813,4711993,80.226,2020-12-16,5.0,3616993.0,61.582
Greenland,EURO,OWID,2022-03-14,79738.0,41227,140.453,72.619,38511,67.834,,1.0,,
Guernsey,EURO,OWID,2022-12-19,178525.0,54223,276.92,84.108,52710,81.761,,3.0,69339.0,107.556
Guinea,AFRO,REPORTING,2023-09-24,12049511.0,8715641,91.751,66.365,5853990,44.575,2021-03-05,6.0,425378.0,3.239
Guinea-Bissau,AFRO,REPORTING,2023-10-15,920752.0,747057,46.786,37.96,547637,27.827,2021-04-02,2.0,76359.0,3.88
Guyana,AMRO,REPORTING,2023-09-08,967861.0,497550,123.051,63.257,384507,48.885,2021-02-11,7.0,80224.0,10.199
Hungary,EURO,REPORTING,2023-10-01,16570818.0,6358690,169.6,65.628,6152042,63.495,2020-12-23,8.0,3868705.0,39.929
Japan,WPRO,REPORTING,2023-10-03,409826682.0,104707550,324.034,82.788,103388112,81.745,2021-02-17,4.0,86596573.0,68.469
Kyrgyzstan,EURO,REPORTING,2023-06-18,3167393.0,1528725,48.5,23.419,1337850,20.495,2021-03-31,6.0,300818.0,4.608
Mauritius,AFRO,REPORTING,2023-07-30,2616012.0,1123773,205.699,88.363,1088142,85.561,2021-01-26,3.0,654507.0,51.464
Mongolia,WPRO,REPORTING,2023-03-17,5668144.0,2284018,172.899,69.671,2185282,66.659,2021-02-23,6.0,1058839.0,32.299
North Macedonia,EURO,REPORTING,2023-05-07,1862987.0,854570,89.4,40.629,838181,39.85,2021-02-17,7.0,161633.0,7.685
Seychelles,AFRO,REPORTING,2023-04-09,224558.0,88520,228.332,90.008,83565,84.97,2021-01-10,4.0,44936.0,45.691
Trinidad and Tobago,AMRO,REPORTING,2023-06-02,1589640.0,754399,113.587,53.905,718969,51.374,2021-02-17,5.0,174836.0,12.493
Turkmenistan,EURO,REPORTING,2023-08-06,16775970.0,4614869,278.2,72.768,4568901,72.044,2021-02-24,7.0,3816400.0,60.178
Uganda,AFRO,REPORTING,2023-05-28,26406936.0,20033189,57.731,43.797,13061126,28.555,2021-03-10,5.0,764664.0,1.672
Ukraine,EURO,REPORTING,2022-02-27,31668577.0,15774300,72.4,36.237,15153577,34.811,2021-02-24,6.0,741197.0,1.703
Yemen,EMRO,REPORTING,2023-09-17,1287688.0,1041596,4.317,3.492,798451,2.677,2021-04-20,11.0,66565.0,0.223
New Caledonia,WPRO,REPORTING,2023-04-03,480497.0,192371,168.301,67.381,184801,64.729,2021-01-20,2.0,103325.0,36.191
Nigeria,AFRO,REPORTING,2023-11-05,133048021.0,93829435,64.543,45.517,81297808,39.438,2021-03-05,1.0,16826715.0,8.163
Niue,WPRO,REPORTING,2023-03-04,4923.0,1638,304.265,101.236,1635,101.051,2021-06-08,1.0,1225.0,75.711
occupied Palestinian territory,EMRO,REPORTING,2022-10-18,3748571.0,2012767,73.481,39.455,1776973,34.833,2021-02-02,10.0,336967.0,6.605
Saba,AMRO,REPORTING,2023-06-02,4979.0,1687,257.579,87.274,1667,86.239,,,1170.0,60.528
San Marino,EURO,REPORTING,2022-05-22,69338.0,26357,204.3,78.105,23633,70.033,2021-02-24,2.0,19348.0,57.335
South Sudan,AFRO,REPORTING,2023-10-01,4365547.0,4315127,39.0,38.55,4273253,38.175,2021-04-06,2.0,513122.0,4.584
Tajikistan,EURO,REPORTING,2023-06-04,20525784.0,5328277,215.2,54.649,5191919,53.25,2021-03-24,8.0,5280117.0,54.155
Turks and Caicos Islands,AMRO,REPORTING,2023-06-02,73907.0,32815,190.885,84.754,30710,79.317,2021-01-11,1.0,7443.0,19.224
Antigua and Barbuda,AMRO,REPORTING,2023-06-02,136512.0,64290,139.399,65.65,62384,63.703,2021-03-01,6.0,9838.0,10.046
Bonaire,AMRO,REPORTING,2023-06-02,43070.0,17460,205.929,83.481,16189,77.404,,,8125.0,38.848
Colombia,AMRO,REPORTING,2023-06-02,90506612.0,43012174,177.872,84.532,37019801,72.755,2021-02-17,5.0,14792792.0,29.072
Comoros,AFRO,REPORTING,2022-10-02,835021.0,438825,96.023,50.463,397080,45.662,2021-04-10,3.0,,
Cyprus,EURO,REPORTING,2023-09-17,1858992.0,669230,209.3,73.979,656139,72.525,2020-12-23,5.0,487409.0,53.875
Democratic Republic of the Congo,AFRO,REPORTING,2023-06-04,18808671.0,17045721,21.001,19.032,14399520,16.078,2021-04-19,1.0,,
Equatorial Guinea,AFRO,REPORTING,2022-07-24,488738.0,270109,34.836,19.252,214032,15.255,2021-02-12,2.0,4597.0,0.328
Eritrea,AFRO,REPORTING,2022-07-03,,0,,0.0,0,0.0,,,,
Ghana,AFRO,REPORTING,2023-07-02,25624828.0,13864186,82.467,44.618,10780003,34.693,2021-03-02,2.0,4806017.0,15.467
Iraq,EMRO,REPORTING,2023-01-02,19557364.0,11332925,48.623,28.176,7944775,19.752,2021-03-02,10.0,275280.0,0.684
Isle of Man,EURO,OWID,2022-06-23,189994.0,69560,223.438,81.804,67106,78.919,,3.0,53328.0,62.715
Jamaica,AMRO,REPORTING,2023-10-06,1528445.0,722248,51.616,24.391,760132,25.67,2021-03-10,6.0,46065.0,1.556
Liechtenstein,OTHER,REPORTING,2022-04-10,71104.0,26681,183.5,68.86,26346,67.995,2021-01-06,3.0,18310.0,47.255
Mali,AFRO,REPORTING,2023-05-14,5922585.0,4354292,29.246,21.502,3633589,17.943,2021-03-31,1.0,,
Martinique,AMRO,REPORTING,2023-07-14,401947.0,150824,107.11,40.191,145560,38.789,,2.0,92934.0,24.765
Mexico,AMRO,REPORTING,2023-06-30,222921381.0,84500208,172.897,65.538,81407121,63.139,2020-12-24,8.0,57014052.0,44.22
Monaco,EURO,REPORTING,2022-12-04,71027.0,25319,181.0,69.015,24933,67.963,2021-06-30,7.0,17806.0,48.536
Montenegro,EURO,REPORTING,2022-12-04,523735.0,272152,83.4,43.346,251583,40.07,2021-02-24,5.0,0.0,0.0
